StudentPerformance-dataset
Hours_Studied,Attendance,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Family_Income,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Exam_Score
18,81,Low,Yes,8,71,Medium,Medium,Public,Neutral,3,No,65
21,72,Medium,Yes,5,57,Medium,High,Public,Neutral,5,Yes,64
8,61,Medium,Yes,7,54,Medium,High,Public,Positive,3,No,60
19,69,High,Yes,7,82,High,Low,Public,Negative,2,No,65
22,71,Medium,No,6,79,High,Low,Public,Positive,3,No,66
29,78,High,Yes,4,93,Low,Medium,Public,Neutral,3,No,74
17,67,Medium,Yes,5,52,High,Medium,Private,Negative,3,No,62
15,95,Medium,No,7,93,Medium,Low,Public,Positive,4,No,70
17,88,High,Yes,7,94,Low,Medium,Public,Neutral,3,No,69
25,63,High,Yes,7,72,Medium,Medium,Private,Negative,4,No,67
22,86,Low,No,6,54,Medium,Medium,Public,Neutral,0,No,64
17,86,High,No,5,97,High,High,Public,Neutral,3,No,71
23,98,Low,Yes,7,54,Low,Medium,Public,Negative,3,No,68
21,60,Medium,No,7,80,Medium,Medium,Public,Neutral,4,Yes,64
26,70,Low,Yes,8,75,Medium,Medium,Private,Neutral,4,Yes,63
16,97,Medium,Yes,6,92,Low,High,Private,Positive,4,No,71
18,97,Medium,Yes,4,75,Low,Low,Public,Positive,3,No,69
18,89,Medium,Yes,4,73,Medium,High,Private,Positive,2,No,100
11,91,Medium,No,6,94,Medium,Medium,Public,Neutral,3,No,68
22,64,Medium,No,7,98,Low,Medium,Public,Negative,3,No,62
22,81,Medium,Yes,7,77,Low,Medium,Public,Positive,3,No,68
20,69,High,Yes,6,73,Medium,Low,Private,Positive,3,No,66
19,67,Medium,No,5,92,High,Medium,Public,Positive,3,No,64
12,92,Medium,No,4,92,High,Medium,Public,Neutral,3,Yes,67
17,65,High,Yes,8,66,Medium,High,Public,Neutral,4,Yes,65
18,79,Medium,Yes,7,79,Medium,Low,Private,Neutral,3,No,65
15,98,Medium,No,6,58,High,Low,Public,Positive,3,No,69
19,67,Medium,No,5,82,High,Low,Private,Negative,3,No,63
22,99,Low,Yes,6,92,Low,Medium,Public,Negative,4,No,72
31,100,Medium,No,7,59,Medium,High,Public,Positive,5,No,76
21,82,High,Yes,7,66,High,Low,Public,Positive,3,Yes,69
22,67,Medium,Yes,7,72,High,Low,Public,Positive,2,No,67
20,73,Medium,Yes,9,92,Medium,Medium,Public,Positive,3,No,69
8,77,Medium,Yes,6,87,Medium,Low,Public,Neutral,2,No,63
20,72,Medium,No,9,66,Medium,Low,Private,Positive,3,No,67
20,71,High,Yes,7,62,High,Medium,Public,Negative,5,No,66
35,99,High,Yes,7,85,Low,Medium,Private,Neutral,2,No,79
19,66,Medium,No,8,74,Medium,High,Public,Neutral,3,No,64
22,89,High,Yes,6,80,Medium,High,Public,Positive,3,No,73
20,60,High,No,7,82,High,Low,Public,Positive,4,Yes,63
13,84,Medium,No,5,78,Medium,Low,Public,Positive,2,No,65
27,97,High,Yes,8,81,Medium,High,Public,Positive,5,No,73
25,72,High,Yes,8,94,Low,Low,Private,Positive,4,No,70
25,67,Medium,No,9,93,High,Low,Public,Positive,3,Yes,68
15,86,Medium,Yes,7,57,Medium,Medium,Public,Negative,3,No,65
28,89,High,Yes,9,79,High,Low,Private,Positive,1,No,71
12,88,Medium,No,6,72,Low,Medium,Public,Positive,2,No,64
24,73,High,Yes,8,64,Medium,High,Private,Neutral,3,Yes,68
33,70,Medium,Yes,6,82,Low,Low,Public,Neutral,4,No,69
14,98,Medium,No,7,76,Medium,Medium,Private,Positive,4,No,69
17,97,Medium,No,8,89,Medium,Low,Public,Neutral,4,No,69
21,78,Medium,Yes,10,55,Medium,High,Private,Positive,2,No,67
17,94,Medium,Yes,8,65,Low,Medium,Public,Neutral,6,No,68
11,78,High,Yes,8,51,Medium,Low,Public,Neutral,3,No,64
20,77,Medium,No,6,87,Low,Low,Public,Positive,4,No,66
14,66,Low,No,7,96,Medium,Low,Public,Negative,3,No,63
23,77,Medium,Yes,7,79,Medium,Low,Public,Neutral,2,No,66
14,81,Medium,No,9,81,Medium,Low,Private,Negative,3,No,66
29,61,High,Yes,7,52,Low,Low,Private,Positive,3,No,67
15,78,High,No,9,75,Low,Low,Public,Negative,1,No,65
18,91,Medium,Yes,5,76,Medium,Medium,Public,Neutral,3,No,68
25,87,Low,No,9,52,High,Low,Private,Positive,2,No,68
13,85,Medium,No,6,89,Medium,High,Private,Neutral,1,Yes,65
21,96,Medium,No,8,64,High,Medium,Public,Neutral,0,No,71
28,61,High,No,6,86,High,Low,Private,Negative,3,Yes,65
10,82,Low,No,8,70,Medium,Low,Public,Positive,1,Yes,64
21,91,Medium,No,6,100,Medium,High,Private,Neutral,2,No,72
22,82,Medium,No,9,61,Medium,Low,Public,Negative,2,Yes,65
25,73,High,No,8,53,High,Low,Private,Negative,5,No,66
13,65,High,No,6,99,Medium,Low,Private,Negative,4,No,61
12,96,High,Yes,8,62,Medium,Medium,Public,Negative,3,No,68
23,79,High,Yes,8,82,Low,Medium,Public,Negative,3,Yes,69
22,95,High,Yes,6,69,Medium,Low,Public,Positive,3,No,72
22,83,High,Yes,5,82,Medium,Low,Public,Positive,3,No,71
22,87,High,No,5,80,Low,Low,Public,Negative,3,No,70
16,92,High,Yes,5,85,Low,Low,Public,Neutral,2,No,68
21,86,Medium,Yes,5,51,Medium,Low,Public,Positive,2,No,67
22,76,Medium,Yes,8,92,Medium,Low,Public,Neutral,4,No,68
16,81,Medium,Yes,8,74,Medium,Medium,Public,Positive,2,No,68
31,92,Medium,Yes,4,76,Medium,Medium,Public,Positive,4,Yes,72
23,75,High,No,6,71,Low,Medium,Public,Neutral,2,No,65
13,76,High,No,5,99,Low,Medium,Private,Positive,4,No,66
24,64,Medium,Yes,8,90,High,Low,Public,Negative,3,No,65
14,97,Medium,Yes,6,66,Medium,Medium,Public,Negative,3,Yes,67
25,64,High,No,5,89,Low,Medium,Public,Neutral,4,No,66
27,86,Medium,No,7,72,Low,Medium,Public,Positive,4,No,69
15,77,Medium,Yes,8,94,Low,High,Public,Positive,3,No,66
26,76,High,Yes,6,52,Medium,High,Public,Neutral,3,No,69
22,87,Low,Yes,7,68,Medium,Low,Public,Neutral,2,No,67
25,63,Medium,Yes,6,71,Medium,Medium,Private,Positive,3,No,66
31,84,Medium,Yes,9,87,Medium,Low,Private,Neutral,3,No,71
19,91,Low,No,6,59,Medium,Medium,Public,Neutral,4,No,70
15,93,Medium,No,6,64,Medium,Medium,Public,Positive,4,No,71
15,67,Medium,Yes,7,86,High,High,Private,Positive,3,No,66
15,96,Medium,No,7,54,High,Medium,Public,Negative,2,No,67
20,86,Low,No,8,60,Medium,Medium,Public,Neutral,4,Yes,66
22,95,High,No,9,88,Low,Low,Public,Positive,2,No,72
22,79,Medium,No,9,94,Medium,Medium,Public,Positive,3,No,68
25,82,Medium,No,6,86,Medium,Low,Public,Positive,3,No,69
20,97,Medium,Yes,7,76,Low,Low,Private,Positive,3,No,71
29,96,Medium,Yes,9,55,Low,Medium,Public,Neutral,2,No,70
18,78,Medium,No,9,91,High,High,Public,Neutral,4,No,67
36,71,Medium,Yes,6,56,Medium,High,Public,Positive,2,No,69
24,76,High,No,8,69,Low,Medium,Public,Neutral,1,No,65
15,76,High,No,8,53,Medium,Low,Public,Neutral,4,No,65
14,71,Medium,Yes,8,85,Low,Medium,Public,Neutral,4,No,64
23,71,Low,Yes,9,75,Low,Low,Public,Negative,2,No,63
19,94,Medium,Yes,5,95,Medium,Low,Public,Positive,2,No,69
24,63,Low,Yes,6,57,Medium,Low,Private,Neutral,5,No,64
23,87,High,Yes,8,91,High,High,Private,Positive,3,No,72
20,67,Medium,Yes,7,76,Medium,Medium,Public,Neutral,4,No,63
15,74,High,Yes,4,68,Low,Low,Public,Positive,3,No,64
11,62,High,Yes,5,82,Medium,High,Private,Neutral,4,No,64
17,71,Medium,Yes,8,90,Medium,Medium,Public,Positive,1,No,67
25,91,Medium,No,8,72,Low,Medium,Public,Positive,0,No,71
21,95,Medium,No,5,62,High,Medium,Public,Positive,4,No,70
13,69,Low,Yes,9,96,Low,High,Private,Neutral,4,No,61
21,79,High,Yes,7,66,Low,Low,Public,Negative,4,No,67
22,79,Medium,No,5,100,Medium,High,Public,Negative,3,No,72
15,95,Low,Yes,6,88,Low,Low,Public,Negative,5,No,66
21,91,High,Yes,5,84,Medium,High,Public,Neutral,2,No,70
20,81,Medium,Yes,6,51,High,Medium,Public,Neutral,4,Yes,67
13,87,Low,Yes,4,72,Medium,Medium,Public,Neutral,3,No,67
22,94,Medium,Yes,7,75,High,High,Public,Neutral,2,No,71
23,60,Medium,Yes,8,69,Medium,Low,Private,Positive,4,No,66
26,76,Medium,Yes,5,57,Medium,Medium,Public,Positive,4,No,68
26,96,Medium,Yes,7,68,Medium,High,Private,Positive,3,No,74
12,90,Low,Yes,6,54,Medium,High,Public,Neutral,3,No,64
14,82,Medium,No,8,65,Medium,Low,Private,Positive,3,No,65
23,81,Medium,Yes,4,54,Medium,Low,Public,Neutral,3,No,66
23,74,High,Yes,8,88,Low,Medium,Public,Negative,3,Yes,66
23,81,Low,No,4,84,Medium,Medium,Public,Positive,5,No,68
43,86,Medium,Yes,7,97,Medium,Medium,Public,Positive,1,No,78
23,77,High,Yes,6,69,Low,Medium,Private,Positive,2,No,67
27,89,High,Yes,6,89,Medium,Medium,Private,Positive,3,No,74
26,94,High,No,5,79,High,Low,Public,Positive,2,No,74
24,66,Low,No,9,82,Low,Medium,Public,Neutral,2,Yes,62
18,78,Medium,Yes,5,77,Medium,Medium,Public,Neutral,4,No,66
25,76,Medium,Yes,5,89,High,Medium,Public,Neutral,3,No,69
15,87,High,Yes,10,52,Medium,Low,Private,Positive,3,No,68
19,70,Low,No,7,54,High,Medium,Public,Positive,2,Yes,89
17,86,Low,No,5,55,Low,High,Private,Neutral,4,No,66
20,95,Medium,Yes,7,64,Low,Medium,Public,Neutral,3,No,68
34,77,Low,Yes,7,80,Low,Medium,Public,Positive,3,No,69
9,96,Medium,Yes,4,82,High,Low,Public,Positive,4,No,67
24,100,High,Yes,6,86,Low,Medium,Private,Positive,5,No,75
10,64,High,No,7,64,High,Medium,Public,Positive,4,Yes,60
17,69,Medium,Yes,9,83,Medium,Medium,Private,Positive,4,Yes,66
27,98,High,Yes,7,56,Low,High,Private,Positive,3,No,73
20,98,Low,No,7,50,Low,Medium,Private,Neutral,2,No,68
14,64,Medium,Yes,6,85,Medium,Medium,Public,Neutral,3,No,62
16,61,Medium,No,9,86,Low,Low,Public,Positive,2,No,62
24,66,Low,Yes,8,81,High,Medium,Public,Neutral,4,No,65
16,100,Low,Yes,8,63,High,Low,Public,Negative,3,No,69
21,67,Medium,No,7,96,Low,Low,Public,Neutral,2,No,64
20,80,High,No,5,94,Medium,Low,Private,Positive,4,Yes,67
16,94,High,Yes,9,76,Medium,Low,Public,Neutral,2,No,70
33,61,Medium,No,7,99,High,Medium,Public,Neutral,3,No,70
24,84,Low,No,7,65,Low,Medium,Public,Positive,3,No,69
8,71,Low,No,8,75,Medium,Medium,Public,Positive,3,No,61
21,94,Medium,No,7,96,Low,Medium,Private,Neutral,2,Yes,69
16,71,Medium,Yes,5,73,Medium,Medium,Public,Neutral,0,Yes,63
25,87,Low,Yes,7,74,Low,Medium,Public,Neutral,4,Yes,67
15,87,Medium,No,4,54,Medium,Medium,Public,Neutral,6,No,65
19,69,Medium,Yes,7,61,High,High,Public,Neutral,4,No,66
23,61,Medium,No,9,58,Medium,Medium,Public,Neutral,2,No,63
25,76,High,Yes,4,78,Medium,Medium,Private,Negative,3,No,68
13,72,High,No,7,66,Medium,Low,Public,Neutral,4,No,65
18,92,Medium,Yes,8,54,Medium,Medium,Public,Positive,3,No,67
17,92,Low,Yes,8,75,Medium,Medium,Public,Neutral,3,No,68
16,78,High,No,6,83,Medium,Low,Public,Neutral,3,Yes,64
31,84,Medium,No,5,87,High,Medium,Private,Positive,3,No,71
22,84,Medium,Yes,6,92,Low,Medium,Public,Neutral,5,No,69
12,93,Medium,Yes,9,74,Low,Medium,Public,Neutral,3,No,67
26,77,Medium,No,4,70,Low,High,Public,Neutral,3,Yes,65
33,71,Medium,No,5,84,Medium,Medium,Public,Positive,2,No,68
26,71,Medium,Yes,6,51,Low,High,Private,Positive,3,No,67
11,81,Medium,Yes,6,82,High,Medium,Public,Neutral,4,No,67
17,78,High,Yes,7,70,Medium,Low,Public,Positive,3,No,66
28,78,Medium,No,9,73,High,Medium,Public,Neutral,4,No,70
16,64,Low,Yes,5,65,Medium,Medium,Private,Positive,4,No,65
23,89,Low,Yes,7,56,Low,Medium,Private,Positive,4,No,69
25,69,Medium,Yes,7,70,Low,High,Public,Positive,4,No,65
14,68,Medium,No,6,65,Medium,High,Public,Neutral,3,Yes,63
20,77,Medium,No,5,98,Low,Low,Private,Neutral,2,No,67
1,69,Medium,Yes,6,97,Medium,Low,Public,Positive,3,No,61
14,83,Low,Yes,6,82,Medium,Medium,Public,Positive,2,No,65
18,75,High,Yes,8,95,Medium,Low,Public,Neutral,2,No,66
13,78,High,Yes,8,88,High,High,Public,Neutral,3,No,66
30,81,Low,Yes,5,67,Medium,High,Public,Negative,1,No,69
11,68,Medium,No,6,80,Medium,Medium,Public,Positive,3,No,63
17,66,High,No,6,61,Medium,High,Public,Positive,6,No,65
21,95,Low,No,10,84,Low,High,Public,Neutral,4,Yes,67
29,77,High,Yes,7,52,Medium,High,Public,Negative,3,Yes,69
11,76,Medium,Yes,5,92,Medium,Medium,Public,Negative,2,No,65
27,61,Medium,No,6,79,Medium,Low,Public,Positive,3,No,65
20,80,Low,Yes,6,53,Medium,Low,Public,Neutral,2,No,65
14,82,High,Yes,8,94,Low,Low,Public,Negative,5,No,67
23,82,Medium,Yes,8,94,Medium,Medium,Public,Negative,2,Yes,66
21,88,High,No,7,93,Medium,Low,Public,Positive,3,No,72
16,67,High,No,7,89,High,Low,Public,Positive,3,No,66
20,70,Medium,Yes,7,84,Low,Medium,Private,Neutral,4,No,65
18,92,Medium,Yes,7,70,Medium,Low,Public,Neutral,3,No,69
21,98,Low,No,4,57,Medium,High,Public,Neutral,2,No,68
24,65,Low,No,7,64,Low,High,Public,Neutral,1,No,64
30,80,High,No,6,67,Medium,Medium,Public,Negative,4,No,69
13,69,Low,Yes,5,68,Low,High,Public,Positive,1,Yes,59
33,62,Medium,Yes,10,78,Medium,Medium,Private,Positive,3,No,68
8,73,Medium,No,7,60,Medium,High,Private,Neutral,3,No,60
19,66,High,No,7,59,Medium,High,Public,Negative,3,No,62
24,88,Medium,Yes,6,86,Low,Low,Public,Negative,3,No,67
22,81,High,Yes,8,50,High,Medium,Private,Positive,5,No,68
16,66,High,Yes,5,57,High,Medium,Public,Positive,3,No,64
19,60,High,Yes,7,72,High,Low,Public,Positive,3,No,65
17,92,Low,Yes,6,57,Medium,Medium,Private,Positive,2,Yes,65
16,67,Medium,No,8,98,Medium,Low,Public,Neutral,3,No,63
25,84,Low,Yes,6,84,Low,Medium,Public,Positive,3,No,70
22,73,Medium,Yes,9,72,Low,Medium,Public,Positive,3,No,66
16,83,High,Yes,7,56,Low,High,Public,Positive,3,No,68
25,73,Low,No,8,69,Medium,Medium,Private,Positive,3,No,66
22,63,Low,No,8,83,Medium,Medium,Private,Negative,1,No,63
25,69,Medium,Yes,9,98,Medium,Low,Public,Negative,3,Yes,66
24,68,Medium,Yes,6,74,Medium,Medium,Public,Neutral,3,No,65
15,77,Medium,Yes,8,85,High,Low,Public,Positive,2,No,66
17,86,Low,Yes,4,60,High,High,Private,Positive,3,Yes,67
24,71,Medium,Yes,7,81,Medium,Low,Private,Positive,3,No,66
24,60,Medium,No,6,62,High,Low,Public,Negative,3,No,63
20,81,Medium,Yes,5,60,Low,Medium,Public,Positive,4,Yes,66
21,84,Medium,No,6,75,Low,High,Public,Positive,3,No,67
28,99,Medium,Yes,6,61,Medium,Low,Public,Positive,3,No,71
16,84,High,Yes,7,86,Medium,Low,Private,Neutral,2,No,67
23,79,High,Yes,6,97,Medium,High,Public,Neutral,4,No,69
19,83,Medium,Yes,7,70,Medium,Low,Public,Negative,4,Yes,67
19,97,Medium,Yes,6,66,High,Medium,Private,Positive,2,No,72
27,93,Low,No,6,59,High,Low,Private,Negative,4,No,70
25,73,High,Yes,7,70,Low,Low,Private,Neutral,4,No,67
25,69,High,Yes,7,78,Medium,Low,Public,Negative,3,No,64
28,71,Medium,No,8,69,High,Medium,Private,Neutral,1,No,67
20,80,High,No,8,81,Medium,Medium,Private,Negative,4,No,69
24,90,Low,No,7,83,Medium,Low,Private,Positive,3,No,68
18,80,Medium,No,8,55,Low,Low,Public,Neutral,3,No,63
22,63,High,Yes,7,85,Medium,High,Public,Negative,3,No,68
19,89,Medium,Yes,7,95,Medium,Medium,Public,Positive,3,No,70
21,92,Low,Yes,8,51,Low,Medium,Public,Neutral,2,No,66
24,72,High,No,6,78,High,Low,Public,Negative,6,No,68
15,87,Low,Yes,4,80,High,Low,Private,Positive,3,No,67
33,77,High,Yes,5,85,Medium,Low,Private,Neutral,5,No,69
14,96,Low,Yes,9,69,High,Medium,Private,Negative,3,Yes,66
13,94,Medium,Yes,7,91,Low,Low,Public,Neutral,3,No,68
27,81,Medium,Yes,7,77,Medium,Medium,Public,Neutral,2,Yes,69
25,88,Medium,Yes,7,70,Low,Medium,Private,Positive,3,No,70
24,95,High,Yes,8,86,High,Medium,Private,Neutral,3,No,74
24,80,High,Yes,7,96,High,Low,Public,Positive,0,No,70
20,73,Medium,Yes,7,91,Low,Medium,Public,Neutral,2,No,66
15,90,Medium,Yes,8,97,Medium,Low,Private,Negative,3,No,69
20,69,High,No,6,63,Low,Low,Public,Negative,3,No,64
16,76,High,Yes,8,56,Medium,Low,Public,Positive,1,No,62
26,95,High,No,7,77,Medium,Medium,Public,Neutral,3,No,70
19,89,Medium,Yes,7,52,Medium,Medium,Public,Negative,4,No,68
15,76,Medium,Yes,6,84,Low,Medium,Public,Neutral,3,No,65
18,69,High,No,7,62,Low,Medium,Public,Positive,3,No,65
22,74,High,Yes,6,73,Low,High,Public,Positive,4,No,71
17,71,Medium,Yes,9,83,Low,Medium,Public,Neutral,5,No,66
15,67,Medium,No,4,74,Medium,Low,Public,Negative,3,No,61
21,90,Medium,Yes,8,62,Low,Medium,Public,Negative,5,Yes,67
21,70,High,Yes,4,94,Medium,Low,Private,Neutral,2,No,65
17,78,High,No,8,88,Medium,Low,Public,Negative,3,No,65
17,75,High,Yes,6,80,Medium,Low,Private,Positive,5,No,65
21,99,Medium,No,8,85,High,Medium,Public,Positive,4,No,73
11,76,Medium,Yes,7,71,Medium,Medium,Public,Neutral,2,No,62
12,63,High,Yes,5,69,Low,Medium,Public,Negative,2,No,60
16,64,Medium,Yes,9,58,Low,Medium,Public,Positive,3,No,61
19,84,Medium,Yes,8,90,High,Low,Private,Neutral,3,No,67
22,84,Medium,No,8,69,Medium,Medium,Private,Neutral,4,No,70
29,77,High,No,6,85,Medium,Medium,Public,Positive,1,No,69
25,77,Low,Yes,8,65,High,Medium,Public,Positive,5,No,66
19,62,Medium,No,5,90,Low,Low,Public,Positive,3,No,64
20,81,Medium,Yes,4,55,Medium,High,Private,Positive,2,No,68
14,80,Medium,Yes,5,81,Medium,Low,Public,Positive,4,No,67
20,66,Medium,No,6,90,High,Medium,Public,Neutral,1,No,64
18,64,Medium,Yes,6,83,High,Low,Public,Positive,2,No,65
22,65,High,Yes,6,85,Medium,High,Public,Positive,3,Yes,66
15,64,Medium,Yes,6,76,High,Medium,Private,Positive,4,Yes,63
23,84,Medium,Yes,6,78,Low,Low,Public,Negative,2,No,68
29,68,High,Yes,4,53,Medium,Medium,Private,Negative,4,No,66
19,70,Medium,No,7,63,Low,Low,Public,Neutral,5,No,63
22,67,Medium,No,7,86,Low,Low,Public,Positive,3,No,63
24,98,Medium,Yes,6,97,Medium,Medium,Public,Positive,4,No,74
18,94,High,Yes,9,77,Low,Medium,Public,Positive,2,No,70
21,69,High,Yes,7,86,Medium,Low,Private,Neutral,3,No,68
20,73,Medium,Yes,7,84,Medium,Medium,Public,Neutral,4,No,66
21,68,Low,No,8,100,Low,Medium,Public,Positive,4,No,63
15,80,High,No,5,90,Medium,Low,Public,Positive,3,No,67
20,61,Medium,No,7,81,Medium,Medium,Public,Neutral,3,No,62
23,87,High,No,8,56,Medium,Medium,Public,Positive,3,No,71
29,81,Medium,No,7,68,Medium,Medium,Public,Neutral,4,No,72
26,96,Medium,Yes,5,63,Medium,High,Private,Positive,2,No,72
33,67,Medium,Yes,6,93,High,Low,Public,Neutral,3,No,68
15,92,Low,Yes,7,72,Low,Medium,Public,Negative,5,No,66
25,92,Medium,No,4,77,Medium,Low,Public,Positive,3,No,70
21,65,Low,Yes,5,98,High,Low,Private,Positive,4,No,66
33,76,Medium,Yes,10,92,Low,High,Private,Positive,3,No,72
15,67,Medium,Yes,8,89,Low,High,Public,Neutral,4,No,64
15,70,Medium,No,9,57,Medium,Medium,Private,Negative,3,No,63
16,71,Medium,No,8,51,Medium,Low,Public,Negative,2,No,61
7,82,High,Yes,8,56,Medium,Low,Private,Negative,2,No,62
17,76,High,No,7,87,High,Medium,Public,Positive,4,No,68
15,98,Medium,Yes,8,71,Low,Medium,Public,Positive,3,No,68
21,65,Medium,No,9,56,High,Medium,Public,Positive,5,No,63
22,99,Low,Yes,8,87,Low,Medium,Private,Neutral,4,No,70
31,69,Low,Yes,7,60,Medium,Low,Public,Neutral,3,No,68
26,91,Medium,Yes,7,79,Medium,Low,Private,Neutral,5,No,72
17,74,Medium,Yes,8,87,Medium,Low,Public,Positive,3,No,67
15,66,High,No,6,80,Medium,Low,Private,Neutral,1,No,61
23,94,Medium,No,8,100,Medium,Low,Public,Neutral,3,No,69
12,72,Low,Yes,6,72,High,Low,Private,Negative,2,No,61
31,86,High,Yes,6,66,Medium,Medium,Public,Positive,3,No,75
27,83,Low,No,5,60,Medium,High,Public,Neutral,2,No,68
17,79,Low,Yes,6,75,Low,Medium,Public,Neutral,4,No,65
